street,left_from,left_to,right_from,right_to,zip_left,zip_right
Wyatt St,2,18,1,19,02143,02143
Concord Ave,nan,nan,29,65,nan,02143
Concord Ave,nan,nan,67,69,nan,02143
Marion St,2,10,1,9,02143,02143
Joseph St,2,98,1,21,02143,02143
Concord Ave,62,88,71,87,02143,02143
Springfield St,50,98,49,99,02143,02143
Prospect St,76,74,71,67,02143,02143
Prospect St,84,82,nan,nan,02143,nan
Oak St,nan,nan,1,17,nan,02143
Oak St,nan,nan,21,23,nan,02143
Oak Street Pl,2,98,1,99,02143,02143
Prospect Pl,2,98,1,99,02143,02143
Webster Ave,nan,nan,39,47,nan,02143
Oak St,68,98,69,99,02143,02143
Houghton St,42,98,39,99,02143,02143
Bolton St,99,9,98,16,02143,02143
Houghton St,22,40,21,37,02143,02143
Oak St,50,66,53,67,02143,02143
Holts Ave,2,98,1,99,02143,02143
Oak St,16,18,25,51,02143,02143
Oak St,2,4,nan,nan,02143,nan
Oak St,28,48,nan,nan,02143,nan
Springfield St,nan,nan,23,25,nan,02143
Prospect St,110,108,105,97,02143,02143
Prospect St,90,86,119,117,02143,02143
Prospect St,nan,nan,91,89,nan,02143
Tremont St,205,299,200,298,02143,02143
Webster Ave,48,50,49,67,02143,02143
Tremont Pl,199,1,98,2,02143,02143
