"Topic","Description","Year","Value","Units","Geography"
"Owners vs Renters","Renter-occupied housing units","2015","62.1","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2015","37.9","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2016","34.7","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2016","65.3","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2016","62.1","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2016","37.9","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2017","34.4","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2017","65.6","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2017","62.4","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2017","37.6","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2018","33.6","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2018","66.4","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2018","62.3","Percent","Massachusetts"
